Ailes cassées
Hormone de Minipoth
 244.0 0.0 0.0
Hormone de Nomoon
 11000.0 0.0 0.0
Hormone de Oursolaire
 143.0 199.9 0.0
Hormone de Patrick le paté de sabl
 35.0 0.0 0.0
Hormone de Petit Chacha Blanc
 300.0 0.0 0.0
Hormone de Petit Chienchien Noir
 77.0 0.0 0.0
Hormone de Pioute
 2971.0 0.0 0.0
Hormone de Pykur
 400.0 999.8 0.0
Hormone de Péki
 298.0 299.9 0.0
Hormone de Raknaille
 350.0 0.0 0.0
Hormone de Rennowel
 120.0 0.0 0.0
Hormone de Ross
 117.0 1250.0 0.0
Hormone de Shushu de Rushu
 0.0 0.0 0.0
Hormone de Tibilax
 7988.0 0.0 0.0
Hormone de Tibilax Saphir
 39.0 0.0 0.0
Hormone de Tifoux Tigré
 1350.0 0.0 0.0
Hormone de Tiwabbit Kiafin
 39.0 0.0 0.0
Hormone de Tofoudre
 0.0 3.8 0.0
Hormone de Vampyrette
 399.0 0.0 0.0
Hormone de Vilain Petit Corbac
 15.0 0.0 0.0
Hormone de Wabbit
 100.0 0.0 0.0
Hormone de Walk
 189.0 1000.0 0.0
Hormone de Willy le Relou
 0.0 0.0 0.0
Levure de Boulanger
 998.0 27.9 6.9
Mesure de sel
 0.0 19500.0 0.01899
Mesure de sel
 0.0 19500.0 0.01899
Phéromone de Tofu
 1400.0 0.0 0.0
Poudre d'Eniripsa
 1180.0 1111.0 1119.88
Poudre de Créatoune
 2998.0 2395.0 2200.0
Poudre de Perlinpainpain
 51.0 1.0 1.0
Poudre de résurrection
 36647.0 0.0 0.0
Poudre Temporelle
 280.0 11.9 8.6
Poudre explosive de Gourlo
 85552.0 90199.7 0.0
Queue de Koalak Sanguin
 60.0 77.9 95.0
Queue de Kolérat
 37.0 34.0 35.42
Queue de Dragodinde
 100.0 98.8 109.97
Queue de Prespic
 0.0 2.8 2.65
Queue de Chef de Guerre Bouftou
 70.0 69.5 67.0
Queue de Croc Gland
 65.0 59.7 89.78
Queue de scorbute
 0.0 1.5 1.58
Queue de Sanglier des Plaines
 599.0 655.3 666.65
Queue de Dragon Cochon
 243.0 277.5 279.0
Queue du Mulou
 19.0 9.8 6.98
Queue de Minotoror
 1978.0 2337.6 0.0
Queue Magique du Péki
 1238.0 0.0 0.0
Queue Magique du Péki
 1238.0 0.0 0.0
Queue emplumée du Rasboul Majet
 111995.0 0.0 0.0
Ballon bleu
 1999.0 0.0 0.0
Ballon jaune
 2992.0 0.0 0.0
Ballon rouge
 983.0 0.0 0.0
Ballon vert
 1898.0 0.0 0.0
 792.0 700.0 0.0
Boomerang du Dok Alako
 159.0 139.2 199.91
Boomerang du Koalak Sanguin
 14996.0 15190.0 0.0
Boomerang du Maitre Koalak
 2390.0 0.0 0.0
Boomerang du Warko Marron
 290.0 549.5 494.96
Boule a neige foire du trooll
 9999.0 0.0 0.0
Bouteille de rhum
 2948.0 3000.0 0.0
Casque cassé
 10.0 0.0 0.0
Corde d'escalade
 11799.0 0.0 0.0
Dose de jus goiitu
 0.0 0.0 49.94
 75.0 7.9 2.39
Epices
 0.0 0.0 39.97
Faux Koinkoin
 325.0 0.0 0.0
Ficelle en Lin
 14.0 9.7 8.31
Indispensable Corde
 595.0 0.0 0.0
Kole
 0.0 9.5 1.17
Mesure de Poivre
 0.0 35.0 44.98
Mojo du Meulou
 520.0 689.9 0.0
Mojo du Mulou
 130.0 150.0 69.98
Orbe Fantosmyque
 160.0 248.0 222.22
Peinture noire
 21993.0 0.0 0.0
Petite Perle Dorée
 197.0 239.9 330.0
